from_city,to_city,airline,flight_number,departure,arrival,price,currency
Singapore,Tokyo,Emirates,EM293,2025-09-14T15:25,2025-09-14T23:25,292,USD
Hong Kong,Los Angeles,Air China,AI565,2025-10-13T15:25,2025-10-14T06:25,218,USD
Frankfurt,Dubai,Cathay Pacific,CA184,2025-11-06T15:25,2025-11-07T04:25,1181,USD
Madrid,Rome,Emirates,EM454,2025-08-24T15:25,2025-08-25T05:25,1248,USD
Hong Kong,Istanbul,Japan Airlines,JA524,2025-06-29T15:25,2025-06-30T05:25,116,USD
London,Dubai,Air France,AI829,2025-07-14T15:25,2025-07-15T03:25,523,USD
Hong Kong,Istanbul,Lufthansa,LU421,2025-06-14T15:25,2025-06-15T06:25,1126,USD
Sydney,Dubai,Delta,DE515,2025-09-01T15:25,2025-09-01T18:25,531,USD
Moscow,New York,Delta,DE765,2025-07-14T15:25,2025-07-14T20:25,996,USD
Melbourne,Los Angeles,Singapore Airlines,SI466,2025-10-16T15:25,2025-10-17T00:25,1027,USD
Bangkok,Madrid,Alitalia,AL295,2025-07-29T15:25,2025-07-30T05:25,1342,USD
Paris,Bangkok,Delta,DE555,2025-08-21T15:25,2025-08-21T22:25,1100,USD
Frankfurt,Hong Kong,American Airlines,AM372,2025-11-11T15:25,2025-11-12T01:25,485,USD
Melbourne,Tokyo,Japan Airlines,JA460,2025-10-09T15:25,2025-10-09T18:25,267,USD
Madrid,Paris,Emirates,EM178,2025-06-16T15:25,2025-06-16T21:25,88,USD
Istanbul,London,Air France,AI764,2025-08-04T15:25,2025-08-05T01:25,312,USD
Toronto,Rome,United Airlines,UN201,2025-11-16T15:25,2025-11-17T03:25,478,USD
Toronto,Paris,Turkish Airlines,TU786,2025-10-06T15:25,2025-10-06T23:25,200,USD
Frankfurt,Moscow,Air China,AI390,2025-06-19T15:25,2025-06-19T21:25,1377,USD
Los Angeles,Beijing,Air France,AI530,2025-07-14T15:25,2025-07-15T02:25,577,USD
Madrid,Beijing,Emirates,EM161,2025-08-14T15:25,2025-08-14T17:25,767,USD
Frankfurt,Rome,American Airlines,AM472,2025-10-27T15:25,2025-10-27T18:25,350,USD
Singapore,Madrid,United Airlines,UN268,2025-08-04T15:25,2025-08-05T00:25,883,USD
